title,publisher,venue_name
Preliminary Design of a Network Protocol Learning Tool Based on the Comprehension of High School Students: Design by an Empirical Study Using a Simple Mind Map,"Springer, Berlin, Heidelberg",International Conference on Human-Computer Interaction
Preliminary Design of a Network Protocol Learning Tool Based on the Comprehension of High School Students: Design by an Empirical Study Using a Simple Mind Map,"Springer, Berlin, Heidelberg",International Conference on Human-Computer Interaction
Further Results on Independence in Direct-Product Graphs.,,Ars Combinatoria
A methodology for the physically accurate visualisation of roman polychrome statuary,Eurographics Association,International Conference on Virtual Reality
A methodology for the physically accurate visualisation of roman polychrome statuary,Eurographics Association,International Conference on Virtual Reality
A methodology for the physically accurate visualisation of roman polychrome statuary,Eurographics Association,International Conference on Virtual Reality
A methodology for the physically accurate visualisation of roman polychrome statuary,Eurographics Association,International Conference on Virtual Reality
A methodology for the physically accurate visualisation of roman polychrome statuary,Eurographics Association,International Conference on Virtual Reality
A methodology for the physically accurate visualisation of roman polychrome statuary,Eurographics Association,International Conference on Virtual Reality
A methodology for the physically accurate visualisation of roman polychrome statuary,Eurographics Association,International Conference on Virtual Reality
A methodology for the physically accurate visualisation of roman polychrome statuary,Eurographics Association,International Conference on Virtual Reality
A methodology for the physically accurate visualisation of roman polychrome statuary,Eurographics Association,International Conference on Virtual Reality
A methodology for the physically accurate visualisation of roman polychrome statuary,Eurographics Association,International Conference on Virtual Reality
A methodology for the physically accurate visualisation of roman polychrome statuary,Eurographics Association,International Conference on Virtual Reality
A methodology for the physically accurate visualisation of roman polychrome statuary,Eurographics Association,International Conference on Virtual Reality
A methodology for the physically accurate visualisation of roman polychrome statuary,Eurographics Association,International Conference on Virtual Reality
A methodology for the physically accurate visualisation of roman polychrome statuary,Eurographics Association,International Conference on Virtual Reality
A methodology for the physically accurate visualisation of roman polychrome statuary,Eurographics Association,International Conference on Virtual Reality
"Comparison of GARCH, Neural Network and Support Vector Machine in Financial Time Series Prediction","Springer, Berlin, Heidelberg",Pattern Recognition and Machine Intelligence
"Comparison of GARCH, Neural Network and Support Vector Machine in Financial Time Series Prediction","Springer, Berlin, Heidelberg",Pattern Recognition and Machine Intelligence
"Comparison of GARCH, Neural Network and Support Vector Machine in Financial Time Series Prediction","Springer, Berlin, Heidelberg",Pattern Recognition and Machine Intelligence
COMPARING GNG3D AND QUADRIC ERROR METRICS METHODS TO SIMPLIFY 3D MESHES,,International Conference on Computer Graphics Theory and Applications
Vectorial fast correlation attacks.,,IACR Cryptology ePrint Archive
Improved Secret Image Sharing Method By Encoding Shared Values With Authentication Bits,"Springer, London",International Symposium on Computer and Information Sciences
Improved Secret Image Sharing Method By Encoding Shared Values With Authentication Bits,"Springer, London",International Symposium on Computer and Information Sciences
Improved Secret Image Sharing Method By Encoding Shared Values With Authentication Bits,"Springer, London",International Symposium on Computer and Information Sciences
Improved Secret Image Sharing Method By Encoding Shared Values With Authentication Bits,"Springer, London",International Symposium on Computer and Information Sciences
A Self-Stabilizing Algorithm for Finding the Cutting Center of a Tree.,,Parallel and Distributed Processing Techniques and Applications
Formal agent-oriented ubiquitous computing: a computational intelligence support for information and services integration,"Springer, Berlin, Heidelberg",Asian Conference on Intelligent Information and Database Systems
Formal agent-oriented ubiquitous computing: a computational intelligence support for information and services integration,"Springer, Berlin, Heidelberg",Asian Conference on Intelligent Information and Database Systems
Formal agent-oriented ubiquitous computing: a computational intelligence support for information and services integration,"Springer, Berlin, Heidelberg",Asian Conference on Intelligent Information and Database Systems
Formal agent-oriented ubiquitous computing: a computational intelligence support for information and services integration,"Springer, Berlin, Heidelberg",Asian Conference on Intelligent Information and Database Systems
Formal agent-oriented ubiquitous computing: a computational intelligence support for information and services integration,"Springer, Berlin, Heidelberg",Asian Conference on Intelligent Information and Database Systems
Fur Visualisation for Computer Game Engines and Real-Time Rendering,"Springer, Cham",International Conference on Computer Vision and Graphics
Fur Visualisation for Computer Game Engines and Real-Time Rendering,"Springer, Cham",International Conference on Computer Vision and Graphics
Fur Visualisation for Computer Game Engines and Real-Time Rendering,"Springer, Cham",International Conference on Computer Vision and Graphics
Identifying Psychological Theme Words from Emotion Annotated Interviews,"Springer, Cham",International Conference on Mining Intelligence and Knowledge Exploration
Identifying Psychological Theme Words from Emotion Annotated Interviews,"Springer, Cham",International Conference on Mining Intelligence and Knowledge Exploration
Identifying Psychological Theme Words from Emotion Annotated Interviews,"Springer, Cham",International Conference on Mining Intelligence and Knowledge Exploration
Identifying Psychological Theme Words from Emotion Annotated Interviews,"Springer, Cham",International Conference on Mining Intelligence and Knowledge Exploration
Multisymplectic Spectral Methods for the Gross-Pitaevskii Equation,"Springer, Berlin, Heidelberg",International Conference on Computational Science
The Role of the Board of Directors in IT Governance: A Review and Agenda for Research,,Americas Conference on Information Systems
The Role of the Board of Directors in IT Governance: A Review and Agenda for Research,,Americas Conference on Information Systems
The Role of the Board of Directors in IT Governance: A Review and Agenda for Research,,Americas Conference on Information Systems
The Role of the Board of Directors in IT Governance: A Review and Agenda for Research,,Americas Conference on Information Systems
The Role of the Board of Directors in IT Governance: A Review and Agenda for Research,,Americas Conference on Information Systems
The Role of the Board of Directors in IT Governance: A Review and Agenda for Research,,Americas Conference on Information Systems
The Role of the Board of Directors in IT Governance: A Review and Agenda for Research,,Americas Conference on Information Systems
The Role of the Board of Directors in IT Governance: A Review and Agenda for Research,,Americas Conference on Information Systems
The Role of the Board of Directors in IT Governance: A Review and Agenda for Research,,Americas Conference on Information Systems
Speech training systems using lateral shapes of vocal tract and F1-F2 diagram for hearing-impaired children,Morgan Kaufmann Publishers Inc.,International Joint Conference on Artificial Intelligence
Software Evolution through Transformations.,,Electronic Notes in Theoretical Computer Science
Knowledge Engineering for Affective Bi-Modal Interaction in Mobile Devices,IOS Press,Joint Conference on Knowledge-Based Software Engineering
Knowledge Engineering for Affective Bi-Modal Interaction in Mobile Devices,IOS Press,Joint Conference on Knowledge-Based Software Engineering
Knowledge Engineering for Affective Bi-Modal Interaction in Mobile Devices,IOS Press,Joint Conference on Knowledge-Based Software Engineering
Knowledge Engineering for Affective Bi-Modal Interaction in Mobile Devices,IOS Press,Joint Conference on Knowledge-Based Software Engineering
Knowledge Engineering for Affective Bi-Modal Interaction in Mobile Devices,IOS Press,Joint Conference on Knowledge-Based Software Engineering
Knowledge Engineering for Affective Bi-Modal Interaction in Mobile Devices,IOS Press,Joint Conference on Knowledge-Based Software Engineering
Design of an audio-visual speech corpus for the czech audio-visual speech synthesis.,,Conference of the International Speech Communication Association
Design of an audio-visual speech corpus for the czech audio-visual speech synthesis.,,Conference of the International Speech Communication Association
Design of an audio-visual speech corpus for the czech audio-visual speech synthesis.,,Conference of the International Speech Communication Association
Design of an audio-visual speech corpus for the czech audio-visual speech synthesis.,,Conference of the International Speech Communication Association
A Platform for Disaster Response Planning with Interdependency Simulation Functionality,"Springer, Berlin, Heidelberg",International Conference on Critical Infrastructure Protection
A Platform for Disaster Response Planning with Interdependency Simulation Functionality,"Springer, Berlin, Heidelberg",International Conference on Critical Infrastructure Protection
A Platform for Disaster Response Planning with Interdependency Simulation Functionality,"Springer, Berlin, Heidelberg",International Conference on Critical Infrastructure Protection
A Platform for Disaster Response Planning with Interdependency Simulation Functionality,"Springer, Berlin, Heidelberg",International Conference on Critical Infrastructure Protection
A Platform for Disaster Response Planning with Interdependency Simulation Functionality,"Springer, Berlin, Heidelberg",International Conference on Critical Infrastructure Protection
A Platform for Disaster Response Planning with Interdependency Simulation Functionality,"Springer, Berlin, Heidelberg",International Conference on Critical Infrastructure Protection
A Platform for Disaster Response Planning with Interdependency Simulation Functionality,"Springer, Berlin, Heidelberg",International Conference on Critical Infrastructure Protection
A COMPUTATIONAL SALIENCY MODEL INTEGRATING SACCADE PROGRAMMING,,International Conference on Bio-inspired Systems and Signal Processing
Cleaneval: a Competition for Cleaning Web Pages,,Language Resources and Evaluation
Cleaneval: a Competition for Cleaning Web Pages,,Language Resources and Evaluation
Cleaneval: a Competition for Cleaning Web Pages,,Language Resources and Evaluation
Leveraging legacy code to deploy desktop applications on the web,USENIX Association,Operating Systems Design and Implementation
Leveraging legacy code to deploy desktop applications on the web,USENIX Association,Operating Systems Design and Implementation
Leveraging legacy code to deploy desktop applications on the web,USENIX Association,Operating Systems Design and Implementation
Leveraging legacy code to deploy desktop applications on the web,USENIX Association,Operating Systems Design and Implementation
Leveraging legacy code to deploy desktop applications on the web,USENIX Association,Operating Systems Design and Implementation
Leveraging legacy code to deploy desktop applications on the web,USENIX Association,Operating Systems Design and Implementation
Leveraging legacy code to deploy desktop applications on the web,USENIX Association,Operating Systems Design and Implementation
Leveraging legacy code to deploy desktop applications on the web,USENIX Association,Operating Systems Design and Implementation
Leveraging legacy code to deploy desktop applications on the web,USENIX Association,Operating Systems Design and Implementation
Leveraging legacy code to deploy desktop applications on the web,USENIX Association,Operating Systems Design and Implementation
Leveraging legacy code to deploy desktop applications on the web,USENIX Association,Operating Systems Design and Implementation
Leveraging legacy code to deploy desktop applications on the web,USENIX Association,Operating Systems Design and Implementation
Leveraging legacy code to deploy desktop applications on the web,USENIX Association,Operating Systems Design and Implementation
Leveraging legacy code to deploy desktop applications on the web,USENIX Association,Operating Systems Design and Implementation
Leveraging legacy code to deploy desktop applications on the web,USENIX Association,Operating Systems Design and Implementation
Leveraging legacy code to deploy desktop applications on the web,USENIX Association,Operating Systems Design and Implementation
Leveraging legacy code to deploy desktop applications on the web,USENIX Association,Operating Systems Design and Implementation
Leveraging legacy code to deploy desktop applications on the web,USENIX Association,Operating Systems Design and Implementation
Leveraging legacy code to deploy desktop applications on the web,USENIX Association,Operating Systems Design and Implementation
Leveraging legacy code to deploy desktop applications on the web,USENIX Association,Operating Systems Design and Implementation
Leveraging legacy code to deploy desktop applications on the web,USENIX Association,Operating Systems Design and Implementation
Leveraging legacy code to deploy desktop applications on the web,USENIX Association,Operating Systems Design and Implementation
Leveraging legacy code to deploy desktop applications on the web,USENIX Association,Operating Systems Design and Implementation
Leveraging legacy code to deploy desktop applications on the web,USENIX Association,Operating Systems Design and Implementation
Leveraging legacy code to deploy desktop applications on the web,USENIX Association,Operating Systems Design and Implementation
A pedestrian navigation method for user's safe and easy wayfinding,"Springer, Berlin, Heidelberg",International Conference on Human-Computer Interaction
A pedestrian navigation method for user's safe and easy wayfinding,"Springer, Berlin, Heidelberg",International Conference on Human-Computer Interaction
A pedestrian navigation method for user's safe and easy wayfinding,"Springer, Berlin, Heidelberg",International Conference on Human-Computer Interaction
Algorithms for the Construction of Digital Convex Fuzzy Hulls.,,European Society for Fuzzy Logic and Technology Conference
Algorithms for the Construction of Digital Convex Fuzzy Hulls.,,European Society for Fuzzy Logic and Technology Conference
Algorithms for the Construction of Digital Convex Fuzzy Hulls.,,European Society for Fuzzy Logic and Technology Conference
Algorithms for the Construction of Digital Convex Fuzzy Hulls.,,European Society for Fuzzy Logic and Technology Conference
Logical Derivation of a Prolog Interpreter.,,Future Generation Computer Systems
An 8/3 Lower Bound for Online Dynamic Bin Packing,"Springer, Berlin, Heidelberg",International Symposium on Algorithms and Computation
An 8/3 Lower Bound for Online Dynamic Bin Packing,"Springer, Berlin, Heidelberg",International Symposium on Algorithms and Computation
An 8/3 Lower Bound for Online Dynamic Bin Packing,"Springer, Berlin, Heidelberg",International Symposium on Algorithms and Computation
An 8/3 Lower Bound for Online Dynamic Bin Packing,"Springer, Berlin, Heidelberg",International Symposium on Algorithms and Computation
An 8/3 Lower Bound for Online Dynamic Bin Packing,"Springer, Berlin, Heidelberg",International Symposium on Algorithms and Computation
An 8/3 Lower Bound for Online Dynamic Bin Packing,"Springer, Berlin, Heidelberg",International Symposium on Algorithms and Computation
An 8/3 Lower Bound for Online Dynamic Bin Packing,"Springer, Berlin, Heidelberg",International Symposium on Algorithms and Computation
An 8/3 Lower Bound for Online Dynamic Bin Packing,"Springer, Berlin, Heidelberg",International Symposium on Algorithms and Computation
An 8/3 Lower Bound for Online Dynamic Bin Packing,"Springer, Berlin, Heidelberg",International Symposium on Algorithms and Computation
An 8/3 Lower Bound for Online Dynamic Bin Packing,"Springer, Berlin, Heidelberg",International Symposium on Algorithms and Computation
An 8/3 Lower Bound for Online Dynamic Bin Packing,"Springer, Berlin, Heidelberg",International Symposium on Algorithms and Computation
An 8/3 Lower Bound for Online Dynamic Bin Packing,"Springer, Berlin, Heidelberg",International Symposium on Algorithms and Computation
An 8/3 Lower Bound for Online Dynamic Bin Packing,"Springer, Berlin, Heidelberg",International Symposium on Algorithms and Computation
An 8/3 Lower Bound for Online Dynamic Bin Packing,"Springer, Berlin, Heidelberg",International Symposium on Algorithms and Computation
An 8/3 Lower Bound for Online Dynamic Bin Packing,"Springer, Berlin, Heidelberg",International Symposium on Algorithms and Computation
Leakage-Resilient spatial encryption,"Springer, Berlin, Heidelberg",International Conference on Progress in Cryptology
Leakage-Resilient spatial encryption,"Springer, Berlin, Heidelberg",International Conference on Progress in Cryptology
Leakage-Resilient spatial encryption,"Springer, Berlin, Heidelberg",International Conference on Progress in Cryptology
Leakage-Resilient spatial encryption,"Springer, Berlin, Heidelberg",International Conference on Progress in Cryptology
Leakage-Resilient spatial encryption,"Springer, Berlin, Heidelberg",International Conference on Progress in Cryptology
Leakage-Resilient spatial encryption,"Springer, Berlin, Heidelberg",International Conference on Progress in Cryptology
Leakage-Resilient spatial encryption,"Springer, Berlin, Heidelberg",International Conference on Progress in Cryptology
Leakage-Resilient spatial encryption,"Springer, Berlin, Heidelberg",International Conference on Progress in Cryptology
Leakage-Resilient spatial encryption,"Springer, Berlin, Heidelberg",International Conference on Progress in Cryptology
Leakage-Resilient spatial encryption,"Springer, Berlin, Heidelberg",International Conference on Progress in Cryptology
Leakage-Resilient spatial encryption,"Springer, Berlin, Heidelberg",International Conference on Progress in Cryptology
Leakage-Resilient spatial encryption,"Springer, Berlin, Heidelberg",International Conference on Progress in Cryptology
Leakage-Resilient spatial encryption,"Springer, Berlin, Heidelberg",International Conference on Progress in Cryptology
Leakage-Resilient spatial encryption,"Springer, Berlin, Heidelberg",International Conference on Progress in Cryptology
Leakage-Resilient spatial encryption,"Springer, Berlin, Heidelberg",International Conference on Progress in Cryptology
Leakage-Resilient spatial encryption,"Springer, Berlin, Heidelberg",International Conference on Progress in Cryptology
Leakage-Resilient spatial encryption,"Springer, Berlin, Heidelberg",International Conference on Progress in Cryptology
Leakage-Resilient spatial encryption,"Springer, Berlin, Heidelberg",International Conference on Progress in Cryptology
On system rollback and totalized fields: An algebraic approach to system change,North-Holland,The Journal of Logic and Algebraic Programming
On system rollback and totalized fields: An algebraic approach to system change,North-Holland,The Journal of Logic and Algebraic Programming
On system rollback and totalized fields: An algebraic approach to system change,North-Holland,The Journal of Logic and Algebraic Programming
On system rollback and totalized fields: An algebraic approach to system change,North-Holland,The Journal of Logic and Algebraic Programming
On system rollback and totalized fields: An algebraic approach to system change,North-Holland,The Journal of Logic and Algebraic Programming
On system rollback and totalized fields: An algebraic approach to system change,North-Holland,The Journal of Logic and Algebraic Programming
On system rollback and totalized fields: An algebraic approach to system change,North-Holland,The Journal of Logic and Algebraic Programming
On system rollback and totalized fields: An algebraic approach to system change,North-Holland,The Journal of Logic and Algebraic Programming
On system rollback and totalized fields: An algebraic approach to system change,North-Holland,The Journal of Logic and Algebraic Programming
On system rollback and totalized fields: An algebraic approach to system change,North-Holland,The Journal of Logic and Algebraic Programming
On system rollback and totalized fields: An algebraic approach to system change,North-Holland,The Journal of Logic and Algebraic Programming
On system rollback and totalized fields: An algebraic approach to system change,North-Holland,The Journal of Logic and Algebraic Programming
On system rollback and totalized fields: An algebraic approach to system change,North-Holland,The Journal of Logic and Algebraic Programming
On system rollback and totalized fields: An algebraic approach to system change,North-Holland,The Journal of Logic and Algebraic Programming
On system rollback and totalized fields: An algebraic approach to system change,North-Holland,The Journal of Logic and Algebraic Programming
On system rollback and totalized fields: An algebraic approach to system change,North-Holland,The Journal of Logic and Algebraic Programming
On system rollback and totalized fields: An algebraic approach to system change,North-Holland,The Journal of Logic and Algebraic Programming
On system rollback and totalized fields: An algebraic approach to system change,North-Holland,The Journal of Logic and Algebraic Programming
On system rollback and totalized fields: An algebraic approach to system change,North-Holland,The Journal of Logic and Algebraic Programming
Extracted knowledge interpretation in mining biological data: A survey,,Research Challenges in Information Science
Extracted knowledge interpretation in mining biological data: A survey,,Research Challenges in Information Science
Extracted knowledge interpretation in mining biological data: A survey,,Research Challenges in Information Science
Extracted knowledge interpretation in mining biological data: A survey,,Research Challenges in Information Science
Extracted knowledge interpretation in mining biological data: A survey,,Research Challenges in Information Science
Extracted knowledge interpretation in mining biological data: A survey,,Research Challenges in Information Science
Extracted knowledge interpretation in mining biological data: A survey,,Research Challenges in Information Science
Extracted knowledge interpretation in mining biological data: A survey,,Research Challenges in Information Science
Extracted knowledge interpretation in mining biological data: A survey,,Research Challenges in Information Science
Extracted knowledge interpretation in mining biological data: A survey,,Research Challenges in Information Science
Extracted knowledge interpretation in mining biological data: A survey,,Research Challenges in Information Science
Extracted knowledge interpretation in mining biological data: A survey,,Research Challenges in Information Science
Extracted knowledge interpretation in mining biological data: A survey,,Research Challenges in Information Science
Extracted knowledge interpretation in mining biological data: A survey,,Research Challenges in Information Science
Extracted knowledge interpretation in mining biological data: A survey,,Research Challenges in Information Science
Extracted knowledge interpretation in mining biological data: A survey,,Research Challenges in Information Science
Extracted knowledge interpretation in mining biological data: A survey,,Research Challenges in Information Science
Extracted knowledge interpretation in mining biological data: A survey,,Research Challenges in Information Science
Extracted knowledge interpretation in mining biological data: A survey,,Research Challenges in Information Science
Extracted knowledge interpretation in mining biological data: A survey,,Research Challenges in Information Science
Extracted knowledge interpretation in mining biological data: A survey,,Research Challenges in Information Science
Extracted knowledge interpretation in mining biological data: A survey,,Research Challenges in Information Science
Context Dependent Automatic Textile Image Annotation Using Networked Knowledge,Fuji Technology Press Ltd.,Journal of Advanced Computational Intelligence and Intelligent Informatics
Context Dependent Automatic Textile Image Annotation Using Networked Knowledge,Fuji Technology Press Ltd.,Journal of Advanced Computational Intelligence and Intelligent Informatics
Context Dependent Automatic Textile Image Annotation Using Networked Knowledge,Fuji Technology Press Ltd.,Journal of Advanced Computational Intelligence and Intelligent Informatics
Context Dependent Automatic Textile Image Annotation Using Networked Knowledge,Fuji Technology Press Ltd.,Journal of Advanced Computational Intelligence and Intelligent Informatics
Context Dependent Automatic Textile Image Annotation Using Networked Knowledge,Fuji Technology Press Ltd.,Journal of Advanced Computational Intelligence and Intelligent Informatics
Context Dependent Automatic Textile Image Annotation Using Networked Knowledge,Fuji Technology Press Ltd.,Journal of Advanced Computational Intelligence and Intelligent Informatics
Context Dependent Automatic Textile Image Annotation Using Networked Knowledge,Fuji Technology Press Ltd.,Journal of Advanced Computational Intelligence and Intelligent Informatics
Context Dependent Automatic Textile Image Annotation Using Networked Knowledge,Fuji Technology Press Ltd.,Journal of Advanced Computational Intelligence and Intelligent Informatics
Context Dependent Automatic Textile Image Annotation Using Networked Knowledge,Fuji Technology Press Ltd.,Journal of Advanced Computational Intelligence and Intelligent Informatics
Context Dependent Automatic Textile Image Annotation Using Networked Knowledge,Fuji Technology Press Ltd.,Journal of Advanced Computational Intelligence and Intelligent Informatics
Context Dependent Automatic Textile Image Annotation Using Networked Knowledge,Fuji Technology Press Ltd.,Journal of Advanced Computational Intelligence and Intelligent Informatics
Setting up an Effective Information Security Awareness Programme,Vieweg,Innovations in Systems and Software Engineering
FTP Mirror Tracker: A Few Steps Towards URN,USENIX Association,USENIX Large Installation Systems Administration Conference
FTP Mirror Tracker: A Few Steps Towards URN,USENIX Association,USENIX Large Installation Systems Administration Conference
FTP Mirror Tracker: A Few Steps Towards URN,USENIX Association,USENIX Large Installation Systems Administration Conference
A Clausal Genetic Representation and its Evolutionary Procedures for Satisfiability Problems,"Springer, Vienna",International Conference on Adaptive and Natural Computing Algorithms
A Clausal Genetic Representation and its Evolutionary Procedures for Satisfiability Problems,"Springer, Vienna",International Conference on Adaptive and Natural Computing Algorithms
A Clausal Genetic Representation and its Evolutionary Procedures for Satisfiability Problems,"Springer, Vienna",International Conference on Adaptive and Natural Computing Algorithms
A Clausal Genetic Representation and its Evolutionary Procedures for Satisfiability Problems,"Springer, Vienna",International Conference on Adaptive and Natural Computing Algorithms
A Clausal Genetic Representation and its Evolutionary Procedures for Satisfiability Problems,"Springer, Vienna",International Conference on Adaptive and Natural Computing Algorithms
A Clausal Genetic Representation and its Evolutionary Procedures for Satisfiability Problems,"Springer, Vienna",International Conference on Adaptive and Natural Computing Algorithms
A Clausal Genetic Representation and its Evolutionary Procedures for Satisfiability Problems,"Springer, Vienna",International Conference on Adaptive and Natural Computing Algorithms
A Clausal Genetic Representation and its Evolutionary Procedures for Satisfiability Problems,"Springer, Vienna",International Conference on Adaptive and Natural Computing Algorithms
Using Classpects for Integrating Non-Functional and Functional Requirements.,IASTED,IASTED Conference on Software Engineering
Using Classpects for Integrating Non-Functional and Functional Requirements.,IASTED,IASTED Conference on Software Engineering
Using Classpects for Integrating Non-Functional and Functional Requirements.,IASTED,IASTED Conference on Software Engineering
Using Classpects for Integrating Non-Functional and Functional Requirements.,IASTED,IASTED Conference on Software Engineering
Using Classpects for Integrating Non-Functional and Functional Requirements.,IASTED,IASTED Conference on Software Engineering
Using Classpects for Integrating Non-Functional and Functional Requirements.,IASTED,IASTED Conference on Software Engineering
Using Classpects for Integrating Non-Functional and Functional Requirements.,IASTED,IASTED Conference on Software Engineering
Using Classpects for Integrating Non-Functional and Functional Requirements.,IASTED,IASTED Conference on Software Engineering
Automatic Detection of Annotation Errors in Polish-Language Corpora,"Springer, Berlin, Heidelberg",Intelligent Information Systems
Automatic Detection of Annotation Errors in Polish-Language Corpora,"Springer, Berlin, Heidelberg",Intelligent Information Systems
Automatic Detection of Annotation Errors in Polish-Language Corpora,"Springer, Berlin, Heidelberg",Intelligent Information Systems
Automatic Detection of Annotation Errors in Polish-Language Corpora,"Springer, Berlin, Heidelberg",Intelligent Information Systems
